x1,y1,x2,y2
tensor(1074.),tensor(677.),tensor(1157.),tensor(859.)
tensor(204.),tensor(614.),tensor(291.),tensor(805.)
tensor(1157.),tensor(371.),tensor(1222.),tensor(509.)
tensor(1192.),tensor(736.),tensor(1290.),tensor(904.)
tensor(680.),tensor(433.),tensor(746.),tensor(607.)
tensor(87.),tensor(123.),tensor(134.),tensor(239.)
tensor(924.),tensor(259.),tensor(986.),tensor(403.)
tensor(1550.),tensor(661.),tensor(1644.),tensor(852.)
tensor(118.),tensor(870.),tensor(234.),tensor(1046.)
tensor(753.),tensor(299.),tensor(809.),tensor(454.)
tensor(578.),tensor(358.),tensor(646.),tensor(508.)
tensor(1055.),tensor(961.),tensor(1125.),tensor(1076.)
tensor(1738.),tensor(503.),tensor(1824.),tensor(674.)
tensor(1535.),tensor(497.),tensor(1613.),tensor(648.)
tensor(1752.),tensor(243.),tensor(1816.),tensor(387.)
tensor(346.),tensor(0.),tensor(408.),tensor(80.)
tensor(1379.),tensor(41.),tensor(1423.),tensor(173.)
tensor(10.),tensor(73.),tensor(70.),tensor(179.)
tensor(336.),tensor(482.),tensor(396.),tensor(621.)
tensor(1103.),tensor(115.),tensor(1145.),tensor(225.)
tensor(987.),tensor(176.),tensor(1051.),tensor(325.)
tensor(443.),tensor(0.),tensor(470.),tensor(64.)
tensor(704.),tensor(124.),tensor(753.),tensor(254.)
tensor(1841.),tensor(240.),tensor(1902.),tensor(369.)
tensor(1292.),tensor(0.),tensor(1327.),tensor(98.)
tensor(1746.),tensor(159.),tensor(1813.),tensor(298.)
tensor(390.),tensor(530.),tensor(460.),tensor(656.)
tensor(855.),tensor(59.),tensor(898.),tensor(185.)
tensor(1685.),tensor(63.),tensor(1751.),tensor(191.)
tensor(797.),tensor(56.),tensor(836.),tensor(175.)
tensor(1353.),tensor(0.),tensor(1391.),tensor(101.)
tensor(1613.),tensor(44.),tensor(1656.),tensor(148.)
