x1,y1,x2,y2
674,553,748,733
754,384,813,537
241,486,312,661
1490,525,1572,689
1823,611,1911,807
1475,368,1554,539
1366,708,1447,874
89,126,140,242
64,822,181,991
251,9,305,120
1119,837,1210,1048
849,59,887,187
924,205,982,338
706,191,759,329
1146,448,1211,575
1801,174,1857,307
1087,62,1133,176
335,486,407,642
989,124,1041,263
1733,97,1799,237
385,2,431,111
1204,93,1250,232
1623,12,1667,125
798,60,836,182
912,75,949,180
1170,115,1222,244
1383,0,1431,180
1304,0,1340,100
1702,198,1764,328
1595,16,1650,127
391,528,458,655
1680,21,1734,145
